"Step","0415183930 - test_loss","0415183930 - test_loss__MIN","0415183930 - test_loss__MAX"
"375","0.2658360004425049","0.2658360004425049","0.2658360004425049"
"751","0.17499645054340363","0.17499645054340363","0.17499645054340363"
"1127","0.09749572724103928","0.09749572724103928","0.09749572724103928"
"1503","0.24145811796188354","0.24145811796188354","0.24145811796188354"
"1879","0.02260308526456356","0.02260308526456356","0.02260308526456356"
"2255","0.10863542556762695","0.10863542556762695","0.10863542556762695"
"2631","0.10386031121015549","0.10386031121015549","0.10386031121015549"
"3007","0.037824083119630814","0.037824083119630814","0.037824083119630814"
"3383","0.14197267591953278","0.14197267591953278","0.14197267591953278"
"3759","0.07526157796382904","0.07526157796382904","0.07526157796382904"
"4135","0.05881926417350769","0.05881926417350769","0.05881926417350769"
"4511","0.060412172228097916","0.060412172228097916","0.060412172228097916"
"4887","0.14873045682907104","0.14873045682907104","0.14873045682907104"
"5263","0.09510324150323868","0.09510324150323868","0.09510324150323868"
"5639","0.07052093744277954","0.07052093744277954","0.07052093744277954"
