"Step","0302125358 - train_accuracy","0302125358 - train_accuracy__MIN","0302125358 - train_accuracy__MAX"
"175","0.84375","0.84375","0.84375"
"176","0.875","0.875","0.875"
"177","0.84375","0.84375","0.84375"
"178","0.9375","0.9375","0.9375"
"179","0.90625","0.90625","0.90625"
"180","0.90625","0.90625","0.90625"
"181","0.8125","0.8125","0.8125"
"182","0.9375","0.9375","0.9375"
"183","0.875","0.875","0.875"
"184","0.9375","0.9375","0.9375"
"185","0.96875","0.96875","0.96875"
"186","0.9375","0.9375","0.9375"
"187","0.90625","0.90625","0.90625"
"188","0.875","0.875","0.875"
"189","0.90625","0.90625","0.90625"
"190","0.875","0.875","0.875"
"191","0.8125","0.8125","0.8125"
"192","0.9375","0.9375","0.9375"
"193","0.9375","0.9375","0.9375"
"194","0.84375","0.84375","0.84375"
"195","0.9375","0.9375","0.9375"
"196","0.90625","0.90625","0.90625"
"197","0.875","0.875","0.875"
"198","0.875","0.875","0.875"
"199","1","1","1"
"200","0.96875","0.96875","0.96875"
"201","0.78125","0.78125","0.78125"
"202","0.875","0.875","0.875"
"203","0.9375","0.9375","0.9375"
"204","1","1","1"
"205","1","1","1"
"206","0.75","0.75","0.75"
"207","0.90625","0.90625","0.90625"
"208","0.90625","0.90625","0.90625"
"209","0.9375","0.9375","0.9375"
"210","0.84375","0.84375","0.84375"
"211","0.875","0.875","0.875"
"212","0.875","0.875","0.875"
"213","0.9375","0.9375","0.9375"
"214","0.90625","0.90625","0.90625"
"215","0.84375","0.84375","0.84375"
"216","0.9375","0.9375","0.9375"
"217","0.96875","0.96875","0.96875"
"218","0.8125","0.8125","0.8125"
"219","0.90625","0.90625","0.90625"
"220","0.9375","0.9375","0.9375"
"221","0.96875","0.96875","0.96875"
"222","0.875","0.875","0.875"
"223","0.875","0.875","0.875"
"224","0.96875","0.96875","0.96875"
"225","0.875","0.875","0.875"
"226","0.875","0.875","0.875"
"227","0.96875","0.96875","0.96875"
"228","0.96875","0.96875","0.96875"
"229","0.96875","0.96875","0.96875"
"230","0.9375","0.9375","0.9375"
"231","0.875","0.875","0.875"
"232","0.875","0.875","0.875"
"233","1","1","1"
"234","0.875","0.875","0.875"
"235","0.9375","0.9375","0.9375"
"236","0.96875","0.96875","0.96875"
"237","0.90625","0.90625","0.90625"
"238","0.9375","0.9375","0.9375"
"239","0.96875","0.96875","0.96875"
"240","0.9375","0.9375","0.9375"
"241","0.96875","0.96875","0.96875"
"242","0.96875","0.96875","0.96875"
"243","0.9375","0.9375","0.9375"
"244","1","1","1"
"245","0.90625","0.90625","0.90625"
"246","0.96875","0.96875","0.96875"
"247","0.96875","0.96875","0.96875"
"248","0.9375","0.9375","0.9375"
"249","0.96875","0.96875","0.96875"
"250","0.90625","0.90625","0.90625"
"251","0.96875","0.96875","0.96875"
"252","0.96875","0.96875","0.96875"
"253","1","1","1"
"254","0.9375","0.9375","0.9375"
"255","0.96875","0.96875","0.96875"
"256","0.90625","0.90625","0.90625"
"257","0.90625","0.90625","0.90625"
"258","1","1","1"
"259","0.96875","0.96875","0.96875"
"260","0.96875","0.96875","0.96875"
"261","0.9375","0.9375","0.9375"
"262","0.90625","0.90625","0.90625"
"263","0.96875","0.96875","0.96875"
"264","0.9375","0.9375","0.9375"
"265","0.90625","0.90625","0.90625"
"266","0.90625","0.90625","0.90625"
"267","1","1","1"
"268","0.96875","0.96875","0.96875"
"269","0.9375","0.9375","0.9375"
"270","0.90625","0.90625","0.90625"
"271","0.96875","0.96875","0.96875"
"272","0.8125","0.8125","0.8125"
"273","0.96875","0.96875","0.96875"
"274","0.90625","0.90625","0.90625"
"275","0.90625","0.90625","0.90625"
"276","0.96875","0.96875","0.96875"
"277","0.875","0.875","0.875"
"278","0.96875","0.96875","0.96875"
"279","0.96875","0.96875","0.96875"
"280","0.9375","0.9375","0.9375"
"281","0.9375","0.9375","0.9375"
"282","0.9375","0.9375","0.9375"
"283","0.96875","0.96875","0.96875"
"284","0.9375","0.9375","0.9375"
"285","0.90625","0.90625","0.90625"
"286","0.96875","0.96875","0.96875"
"287","0.8125","0.8125","0.8125"
"288","0.9375","0.9375","0.9375"
"289","0.9375","0.9375","0.9375"
"290","0.875","0.875","0.875"
"291","0.9375","0.9375","0.9375"
"292","0.90625","0.90625","0.90625"
"293","0.9375","0.9375","0.9375"
"294","1","1","1"
"295","0.96875","0.96875","0.96875"
"296","0.90625","0.90625","0.90625"
"297","0.9375","0.9375","0.9375"
"298","0.84375","0.84375","0.84375"
"299","0.90625","0.90625","0.90625"
"300","0.90625","0.90625","0.90625"
"301","1","1","1"
"302","0.90625","0.90625","0.90625"
"303","0.90625","0.90625","0.90625"
"304","0.9375","0.9375","0.9375"
"305","1","1","1"
"306","0.84375","0.84375","0.84375"
"307","0.90625","0.90625","0.90625"
"308","0.9375","0.9375","0.9375"
"309","0.9375","0.9375","0.9375"
"310","0.9375","0.9375","0.9375"
"311","0.9375","0.9375","0.9375"
"312","0.96875","0.96875","0.96875"
"313","0.96875","0.96875","0.96875"
"314","1","1","1"
"315","0.9375","0.9375","0.9375"
"316","0.9375","0.9375","0.9375"
"317","0.96875","0.96875","0.96875"
"318","0.96875","0.96875","0.96875"
"319","0.96875","0.96875","0.96875"
"320","0.9375","0.9375","0.9375"
"321","0.9375","0.9375","0.9375"
"322","0.90625","0.90625","0.90625"
"323","1","1","1"
"324","0.90625","0.90625","0.90625"
"325","0.9375","0.9375","0.9375"
"326","0.9375","0.9375","0.9375"
"327","0.875","0.875","0.875"
"328","0.9375","0.9375","0.9375"
"329","0.96875","0.96875","0.96875"
"330","0.90625","0.90625","0.90625"
"331","1","1","1"
"332","0.8125","0.8125","0.8125"
"333","0.78125","0.78125","0.78125"
"334","0.9375","0.9375","0.9375"
"335","0.84375","0.84375","0.84375"
"336","0.90625","0.90625","0.90625"
"337","1","1","1"
"338","0.9375","0.9375","0.9375"
"339","0.90625","0.90625","0.90625"
"340","0.96875","0.96875","0.96875"
"341","0.875","0.875","0.875"
"342","0.9375","0.9375","0.9375"
"343","0.9375","0.9375","0.9375"
"344","0.875","0.875","0.875"
"345","0.90625","0.90625","0.90625"
"346","0.90625","0.90625","0.90625"
"347","0.9375","0.9375","0.9375"
"348","0.875","0.875","0.875"
"349","0.875","0.875","0.875"
"350","0.96875","0.96875","0.96875"
"351","0.875","0.875","0.875"
"352","0.9375","0.9375","0.9375"
"353","0.96875","0.96875","0.96875"
"354","0.875","0.875","0.875"
"355","0.96875","0.96875","0.96875"
"356","0.9375","0.9375","0.9375"
"357","0.9375","0.9375","0.9375"
"358","0.84375","0.84375","0.84375"
"359","0.90625","0.90625","0.90625"
"360","0.90625","0.90625","0.90625"
"361","0.875","0.875","0.875"
"362","0.96875","0.96875","0.96875"
"363","0.9375","0.9375","0.9375"
"364","0.84375","0.84375","0.84375"
"365","0.9375","0.9375","0.9375"
"366","0.9375","0.9375","0.9375"
"367","0.9375","0.9375","0.9375"
"368","0.8125","0.8125","0.8125"
"369","1","1","1"
"370","0.90625","0.90625","0.90625"
"371","0.9375","0.9375","0.9375"
"372","0.96875","0.96875","0.96875"
"373","0.96875","0.96875","0.96875"
"374","1","1","1"
"376","0.9375","0.9375","0.9375"
"377","0.90625","0.90625","0.90625"
"378","0.90625","0.90625","0.90625"
"379","0.96875","0.96875","0.96875"
"380","0.96875","0.96875","0.96875"
"381","0.875","0.875","0.875"
"382","1","1","1"
"383","0.84375","0.84375","0.84375"
"384","0.90625","0.90625","0.90625"
"385","0.96875","0.96875","0.96875"
"386","0.96875","0.96875","0.96875"
"387","0.9375","0.9375","0.9375"
"388","0.90625","0.90625","0.90625"
"389","1","1","1"
"390","0.90625","0.90625","0.90625"
"391","0.9375","0.9375","0.9375"
"392","0.9375","0.9375","0.9375"
"393","1","1","1"
"394","0.9375","0.9375","0.9375"
"395","0.90625","0.90625","0.90625"
"396","1","1","1"
"397","0.90625","0.90625","0.90625"
"398","0.96875","0.96875","0.96875"
"399","0.9375","0.9375","0.9375"
"400","0.9375","0.9375","0.9375"
"401","1","1","1"
"402","0.96875","0.96875","0.96875"
"403","0.875","0.875","0.875"
"404","0.96875","0.96875","0.96875"
"405","0.96875","0.96875","0.96875"
"406","1","1","1"
"407","0.96875","0.96875","0.96875"
"408","0.9375","0.9375","0.9375"
"409","0.875","0.875","0.875"
"410","1","1","1"
"411","0.9375","0.9375","0.9375"
"412","0.875","0.875","0.875"
"413","0.96875","0.96875","0.96875"
"414","0.875","0.875","0.875"
"415","0.875","0.875","0.875"
"416","0.84375","0.84375","0.84375"
"417","0.875","0.875","0.875"
"418","0.9375","0.9375","0.9375"
"419","0.84375","0.84375","0.84375"
"420","0.90625","0.90625","0.90625"
"421","0.75","0.75","0.75"
"422","0.96875","0.96875","0.96875"
"423","0.90625","0.90625","0.90625"
"424","0.90625","0.90625","0.90625"
"425","1","1","1"
"426","0.875","0.875","0.875"
"427","0.9375","0.9375","0.9375"
"428","0.875","0.875","0.875"
"429","1","1","1"
"430","0.96875","0.96875","0.96875"
"431","0.9375","0.9375","0.9375"
"432","0.90625","0.90625","0.90625"
"433","0.96875","0.96875","0.96875"
"434","0.8125","0.8125","0.8125"
"435","0.9375","0.9375","0.9375"
"436","1","1","1"
"437","0.90625","0.90625","0.90625"
"438","0.8125","0.8125","0.8125"
"439","1","1","1"
"440","0.96875","0.96875","0.96875"
"441","0.90625","0.90625","0.90625"
"442","0.9375","0.9375","0.9375"
"443","1","1","1"
"444","0.9375","0.9375","0.9375"
"445","0.9375","0.9375","0.9375"
"446","0.90625","0.90625","0.90625"
"447","0.96875","0.96875","0.96875"
"448","0.96875","0.96875","0.96875"
"449","0.9375","0.9375","0.9375"
"450","0.96875","0.96875","0.96875"
"451","0.90625","0.90625","0.90625"
"452","0.9375","0.9375","0.9375"
"453","0.9375","0.9375","0.9375"
"454","0.96875","0.96875","0.96875"
"455","0.8125","0.8125","0.8125"
"456","0.875","0.875","0.875"
"457","0.9375","0.9375","0.9375"
"458","0.9375","0.9375","0.9375"
"459","0.96875","0.96875","0.96875"
"460","0.96875","0.96875","0.96875"
"461","0.9375","0.9375","0.9375"
"462","0.90625","0.90625","0.90625"
"463","1","1","1"
"464","0.90625","0.90625","0.90625"
"465","0.96875","0.96875","0.96875"
"466","0.96875","0.96875","0.96875"
"467","0.9375","0.9375","0.9375"
"468","0.875","0.875","0.875"
"469","0.96875","0.96875","0.96875"
"470","0.90625","0.90625","0.90625"
"471","1","1","1"
"472","0.9375","0.9375","0.9375"
"473","0.9375","0.9375","0.9375"
"474","0.8125","0.8125","0.8125"
"475","0.9375","0.9375","0.9375"
"476","0.9375","0.9375","0.9375"
"477","0.9375","0.9375","0.9375"
"478","0.90625","0.90625","0.90625"
"479","0.90625","0.90625","0.90625"
"480","0.90625","0.90625","0.90625"
"481","1","1","1"
"482","1","1","1"
"483","0.96875","0.96875","0.96875"
"484","0.78125","0.78125","0.78125"
"485","0.96875","0.96875","0.96875"
"486","1","1","1"
"487","0.96875","0.96875","0.96875"
"488","0.9375","0.9375","0.9375"
"489","0.9375","0.9375","0.9375"
"490","0.96875","0.96875","0.96875"
"491","0.9375","0.9375","0.9375"
"492","0.96875","0.96875","0.96875"
"493","1","1","1"
"494","0.96875","0.96875","0.96875"
"495","0.875","0.875","0.875"
"496","0.9375","0.9375","0.9375"
"497","0.96875","0.96875","0.96875"
"498","0.96875","0.96875","0.96875"
"499","0.90625","0.90625","0.90625"
"500","1","1","1"
"501","0.96875","0.96875","0.96875"
"502","0.84375","0.84375","0.84375"
"503","0.9375","0.9375","0.9375"
"504","0.96875","0.96875","0.96875"
"505","0.9375","0.9375","0.9375"
"506","1","1","1"
"507","0.84375","0.84375","0.84375"
"508","0.96875","0.96875","0.96875"
"509","0.96875","0.96875","0.96875"
"510","0.96875","0.96875","0.96875"
"511","0.96875","0.96875","0.96875"
"512","0.90625","0.90625","0.90625"
"513","0.90625","0.90625","0.90625"
"514","1","1","1"
"515","0.9375","0.9375","0.9375"
"516","0.96875","0.96875","0.96875"
"517","0.90625","0.90625","0.90625"
"518","0.875","0.875","0.875"
"519","0.96875","0.96875","0.96875"
