epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,1.7685528993606567,0.33266666666666667,0.22007755707677154,0.33266666666666667,0.2577584974680716
1.0,0.2658360004425049,0.9486666666666667,0.9512266462784037,0.9486666666666667,0.9485912769772016
2.0,0.17499645054340363,0.9583333333333334,0.9583634330055227,0.9583333333333334,0.958304507101035
3.0,0.09749572724103928,0.9606666666666667,0.9617845650145457,0.9606666666666667,0.9605981745674012
4.0,0.24145811796188354,0.9546666666666667,0.9569884954597155,0.9546666666666667,0.9545660542427434
5.0,0.02260308526456356,0.9286666666666666,0.9401730774077315,0.9286666666666666,0.9278716999428074
6.0,0.10863542556762695,0.9656666666666667,0.9656908876285645,0.9656666666666666,0.9656659714025876
7.0,0.10386031121015549,0.96,0.9597980334606065,0.96,0.9597937408920624
8.0,0.037824083119630814,0.9586666666666667,0.9613796734733336,0.9586666666666667,0.9585334533530888
9.0,0.14197267591953278,0.9663333333333334,0.9670545646764547,0.9663333333333334,0.9663131127792791
10.0,0.07526157796382904,0.969,0.9691430620058504,0.969,0.9689665009566418
11.0,0.05881926417350769,0.969,0.9695993029947642,0.969,0.9689610579586129
12.0,0.060412172228097916,0.9686666666666667,0.9692716860542084,0.9686666666666667,0.9686390096492564
13.0,0.14873045682907104,0.965,0.9661888033605379,0.965,0.9649652367561713
14.0,0.09510324150323868,0.9706666666666667,0.9706664477585777,0.9706666666666667,0.9706596901042986
15.0,0.07052093744277954,0.97,0.9700756126441101,0.9699999999999999,0.9699796404454482
