"Step","0415183930 - test_f1-score","0415183930 - test_f1-score__MIN","0415183930 - test_f1-score__MAX"
"375","0.9485912769772016","0.9485912769772016","0.9485912769772016"
"751","0.958304507101035","0.958304507101035","0.958304507101035"
"1127","0.9605981745674012","0.9605981745674012","0.9605981745674012"
"1503","0.9545660542427434","0.9545660542427434","0.9545660542427434"
"1879","0.9278716999428074","0.9278716999428074","0.9278716999428074"
"2255","0.9656659714025876","0.9656659714025876","0.9656659714025876"
"2631","0.9597937408920624","0.9597937408920624","0.9597937408920624"
"3007","0.9585334533530888","0.9585334533530888","0.9585334533530888"
"3383","0.9663131127792791","0.9663131127792791","0.9663131127792791"
"3759","0.9689665009566418","0.9689665009566418","0.9689665009566418"
"4135","0.9689610579586129","0.9689610579586129","0.9689610579586129"
"4511","0.9686390096492564","0.9686390096492564","0.9686390096492564"
"4887","0.9649652367561713","0.9649652367561713","0.9649652367561713"
"5263","0.9706596901042986","0.9706596901042986","0.9706596901042986"
"5639","0.9699796404454482","0.9699796404454482","0.9699796404454482"
