"Step","0415093936 - test_loss","0415093936 - test_loss__MIN","0415093936 - test_loss__MAX"
"1500","0.014846470206975937","0.014846470206975937","0.014846470206975937"
"3001","0.8273481130599976","0.8273481130599976","0.8273481130599976"
"4502","0.040422312915325165","0.040422312915325165","0.040422312915325165"
"6003","0.016354871913790703","0.016354871913790703","0.016354871913790703"
"7504","0.007938334718346596","0.007938334718346596","0.007938334718346596"
"9005","0.002388409338891506","0.002388409338891506","0.002388409338891506"
"10506","0.003807757282629609","0.003807757282629609","0.003807757282629609"
"12007","0.00032615262898616493","0.00032615262898616493","0.00032615262898616493"
"13508","0.0003403488371986896","0.0003403488371986896","0.0003403488371986896"
"15009","0.00015350355533882976","0.00015350355533882976","0.00015350355533882976"
"16510","0.00016193783085327595","0.00016193783085327595","0.00016193783085327595"
"18011","0.00009229948045685887","0.00009229948045685887","0.00009229948045685887"
"19512","0.000009998544555855915","0.000009998544555855915","0.000009998544555855915"
"21013","0.000012993437849218026","0.000012993437849218026","0.000012993437849218026"
"22514","0.0001746588823152706","0.0001746588823152706","0.0001746588823152706"
