epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,7.261996746063232,0.007333333333333333,0.0008511940626823133,2.8720626631853783e-05,5.5462344790563896e-05
1.0,0.014846470206975937,0.9583333333333334,0.9598839202130445,0.9583333333333334,0.9579053366482188
2.0,0.8273481130599976,0.9013333333333333,0.9138868492217244,0.9013333333333334,0.8969393628354018
3.0,0.040422312915325165,0.9716666666666667,0.9719272657716053,0.9716666666666667,0.9716077021590036
4.0,0.016354871913790703,0.9916666666666667,0.9916609602433542,0.9916666666666667,0.9916626559867283
5.0,0.007938334718346596,0.9933333333333333,0.9934176692380458,0.9933333333333333,0.9933357755137348
6.0,0.002388409338891506,0.9993333333333333,0.9993346640053226,0.9993333333333334,0.9993333326666659
7.0,0.003807757282629609,0.9983333333333333,0.9983416252072969,0.9983333333333334,0.9983333229166016
8.0,0.00032615262898616493,0.9963333333333333,0.9963600384964515,0.9963333333333333,0.9963332590818297
9.0,0.0003403488371986896,0.987,0.987487969201155,0.987,0.9869950548696141
10.0,0.00015350355533882976,0.9973333333333333,0.9973544973544973,0.9973333333333333,0.997333290665984
11.0,0.00016193783085327595,1.0,1.0,1.0,1.0
12.0,9.229948045685887e-05,1.0,1.0,1.0,1.0
13.0,9.998544555855915e-06,0.9993333333333333,0.9993346640053226,0.9993333333333334,0.9993333326666659
14.0,1.2993437849218026e-05,1.0,1.0,1.0,1.0
15.0,0.0001746588823152706,1.0,1.0,1.0,1.0
