"Step","0302125358 - test_f1-score","0302125358 - test_f1-score__MIN","0302125358 - test_f1-score__MAX"
"375","0.8399132727097864","0.8399132727097864","0.8399132727097864"
"751","0.9617779813622006","0.9617779813622006","0.9617779813622006"
"1127","0.9412871311288464","0.9412871311288464","0.9412871311288464"
"1503","0.9833297010336778","0.9833297010336778","0.9833297010336778"
"1879","0.9776476538774029","0.9776476538774029","0.9776476538774029"
"2255","0.9923326413542156","0.9923326413542156","0.9923326413542156"
"2631","0.997332664998832","0.997332664998832","0.997332664998832"
"3007","0.9956666569166447","0.9956666569166447","0.9956666569166447"
"3383","0.995999935998976","0.995999935998976","0.995999935998976"
"3759","0.9953321637479559","0.9953321637479559","0.9953321637479559"
"4135","0.9996666665833334","0.9996666665833334","0.9996666665833334"
"4511","0.9989999977499949","0.9989999977499949","0.9989999977499949"
"4887","0.9989999997499998","0.9989999997499998","0.9989999997499998"
"5263","0.997999991999968","0.997999991999968","0.997999991999968"
"5639","0.997999997999998","0.997999997999998","0.997999997999998"
