epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
1.0,0.6454024314880371,0.857,0.8662272017837198,0.8569999999999999,0.8581029707630955
2.0,0.3686077296733856,0.8496666666666667,0.8568577849346722,0.8496666666666667,0.8486427306671341
3.0,0.6144816279411316,0.87,0.8816749612941842,0.8700000000000001,0.8706743877308988
4.0,0.46419981122016907,0.8783333333333333,0.8808692053157571,0.8783333333333333,0.8792792597061047
5.0,0.5310901403427124,0.8763333333333333,0.8802120502725262,0.8763333333333333,0.8772178457809422
6.0,0.48081091046333313,0.875,0.877031554340402,0.875,0.875541850172893
7.0,0.46844473481178284,0.8796666666666667,0.8809567492042657,0.8796666666666666,0.8802145160416837
8.0,0.3756256103515625,0.8776666666666667,0.8803770414039143,0.8776666666666667,0.8783057670499957
9.0,0.37466374039649963,0.876,0.8786084963556187,0.876,0.8765394003342388
10.0,0.34231728315353394,0.8736666666666667,0.8774758108437416,0.8736666666666667,0.873305506100524
11.0,0.49027982354164124,0.8733333333333333,0.8769295953800396,0.8733333333333334,0.8744909898138236
12.0,0.32596278190612793,0.8733333333333333,0.8781197607354487,0.8733333333333334,0.8729040211010406
13.0,0.5026699304580688,0.8783333333333333,0.8824971157454726,0.8783333333333333,0.8794074783328306
14.0,0.42560070753097534,0.8786666666666667,0.880935633398105,0.8786666666666667,0.8796172670518914
15.0,0.47513270378112793,0.8803333333333333,0.8832790302418978,0.8803333333333333,0.8813673371162221
